id,name,state,population,weather,COL
1,New York City,NY,8177025,COLD/SNOWY,187.2
2,Los Angeles,CA,3985516,TROPICAL,173.3
3,Chicago,IL,2671635,COLD/SNOWY,106.9
4,Houston,TX,2325353,ARID/DESERT,96.5
5,Phoenix,AZ,1759943,ARID/DESERT,103.7
6,San Antonio,TX,1598964,ARID/DESERT,89.7
7,Philadelphia,PA,1585480,TEMPERATE,101.2
8,San Diego,CA,1429653,TROPICAL,160.1
9,Dallas,TX,1348886,ARID/DESERT,101.6
10,Austin,TX,1028225,ARID/DESERT,119.3
11,San Jose,CA,1003120,TROPICAL,214.5
12,Fort Worth,TX,958692,ARID/DESERT,99.8
13,Jacksonville,FL,938717,TROPICAL,93.5
14,Charlotte,NC,925290,TEMPERATE,98.9
15,Columbus,OH,921605,TEMPERATE,85.5
16,Indianapolis,IN,892656,TEMPERATE,83.5
17,San Francisco,CA,884108,TEMPERATE,269.3
18,Seattle,WA,787995,TEMPERATE,172.3
19,Denver,CO,760049,COLD/SNOWY,128.3
20,Washington,DC,718355,TEMPERATE,152.1
21,Boston,MA,696959,TEMPERATE,162.4
22,El Paso,TX,687287,ARID/DESERT,81.4
23,Nashville,TN,682262,TEMPERATE,101.4
24,Oklahoma City,OK,676492,TEMPERATE,85.4
25,Las Vegas,NV,675592,ARID/DESERT,111.6
26,Portland,OR,666453,TEMPERATE,130.8
27,Detroit,MI,661193,COLD/SNOWY,87.6
28,Memphis,TN,650980,TEMPERATE,76.0
29,Louisville,KY,615067,TEMPERATE,88.4
30,Milwaukee,WI,586503,COLD/SNOWY,84.9
