31,Baltimore,MD,566631
32,Albuquerque,NM,563165
33,Tucson,AZ,557718
34,Mesa,AZ,548213
35,Fresno,CA,539862
36,Atlanta,GA,532695
37,Sacramento,CA,531285
38,Kansas City,MO,505272
39,Colorado Springs,CO,495183
40,Raleigh,NC,488334
41,Miami,FL,483395
42,Omaha,NE,480871
43,Long Beach,CA,452917
44,Virginia Beach,VA,450349
45,Oakland,CA,444956
46,Minneapolis,MN,443715
47,Tampa,FL,407104
48,Tulsa,OK,403518
49,Arlington,TX,401047
50,Aurora,CO,393440
51,Wichita,KS,392059
52,Bakersfield,CA,391438
53,New Orleans,LA,387564
54,Cleveland,OH,374394
55,Henderson,NV,352202
56,Anaheim,CA,349366
57,Honolulu,HI,339421
58,Riverside,CA,336478
59,Santa Ana,CA,333536
60,Corpus Christi,TX,327423
61,Lexington,KY,325330
62,San Juan,PR,323279
63,Stockton,CA,315904
64,St. Paul,MN,311504
65,Cincinnati,OH,308929
66,Irvine,CA,304408
67,Greensboro,NC,303286
68,Pittsburgh,PA,299434
69,Lincoln,NE,295618
70,Durham,NC,292301
71,Orlando,FL,292059
72,St. Louis,MO,292047
73,Chula Vista,CA,285511
74,Plano,TX,284467
75,Newark,NJ,282788
76,Anchorage,AK,280437
77,Fort Wayne,IN,279228
78,Chandler,AZ,273102
79,Reno,NV,271966
80,North Las Vegas,NV,271849
81,Scottsdale,AZ,268839
82,St. Petersburg,FL,268006
83,Laredo,TX,267396
84,Gilbert,AZ,266714
85,Toledo,OH,266524
86,Lubbock,TX,266041
87,Madison,WI,265158
88,Glendale,AZ,259659
89,Jersey City,NJ,256747
90,Buffalo,NY,253793
91,Chesapeake,VA,252263
92,Winston-Salem,NC,252175
93,Fremont,CA,251007
94,Norfolk,VA,240213
95,Frisco,TX,236604
96,Paradise,NV,235087
97,Irving,TX,234920
98,Garland,TX,234585
99,Richmond,VA,234081
100,Arlington,VA,233464
